cameraName,cameraCode,cameraSn,cameraIp
11#B1F东侧电梯厅出入口,03860032930126060000#039a38a858a9404492fefd76c68884c0,03860032930126060000,84.11.65.49
11#B1F东侧通道人脸2,03860032933953940000#039a38a858a9404492fefd76c68884c0,03860032933953940000,84.11.65.50
11#1F东侧通道人脸1,03860032935582060000#039a38a858a9404492fefd76c68884c0,03860032935582060000,84.11.49.101
11#1F东侧通道人脸2,03860032939536130000#039a38a858a9404492fefd76c68884c0,03860032939536130000,84.11.49.102
11#1F东侧出入口,03860032930439170000#039a38a858a9404492fefd76c68884c0,03860032930439170000,84.11.49.103
11#1F东北侧通道人脸1,03860032937640260000#039a38a858a9404492fefd76c68884c0,03860032937640260000,84.11.49.104
11#1F东北侧出入口,03860032939358600000#039a38a858a9404492fefd76c68884c0,03860032939358600000,84.11.49.106
11#2F东北侧通道人脸1,03860032936703840000#039a38a858a9404492fefd76c68884c0,03860032936703840000,84.11.33.155
11#3F东侧通道人脸2,03860032933776950000#039a38a858a9404492fefd76c68884c0,03860032933776950000,84.11.17.240
11#3F东侧电梯厅出入口,03860032938166340000#039a38a858a9404492fefd76c68884c0,03860032938166340000,84.11.17.241
11#4F东侧电梯厅出入口,03860032932115220000#039a38a858a9404492fefd76c68884c0,03860032932115220000,84.11.17.97
11#B1F西侧通道人脸1,03860032938336010000#039a38a858a9404492fefd76c68884c0,03860032938336010000,84.11.65.98
11#B1F西侧电梯厅出入口,03860032937033670000#039a38a858a9404492fefd76c68884c0,03860032937033670000,84.11.65.99
11#1F西侧通道人脸2,03860032939231310000#039a38a858a9404492fefd76c68884c0,03860032939231310000,84.11.49.205
11#1F西北侧通道人脸2,03860032937316260000#039a38a858a9404492fefd76c68884c0,03860032937316260000,84.11.49.208
11#2F西侧通道人脸2,03860032931114860000#039a38a858a9404492fefd76c68884c0,03860032931114860000,84.11.33.234
11#2F西北侧通道人脸2,03860032935788840000#039a38a858a9404492fefd76c68884c0,03860032935788840000,84.11.33.237
11#2F西北侧电梯厅出入口,03860032933500990000#039a38a858a9404492fefd76c68884c0,03860032933500990000,84.11.33.238
11#3F西侧通道人脸1,03860032934797310000#039a38a858a9404492fefd76c68884c0,03860032934797310000,84.11.33.68
11#3F西侧电梯厅出入口,03860032936167750000#039a38a858a9404492fefd76c68884c0,03860032936167750000,84.11.33.70
11#4F西侧通道人脸1,03860032933846430000#039a38a858a9404492fefd76c68884c0,03860032933846430000,84.11.17.166
11#4F西侧通道人脸2,03860032936124860000#039a38a858a9404492fefd76c68884c0,03860032936124860000,84.11.17.167
11#4F西侧电梯厅出入口,03860032930092960000#039a38a858a9404492fefd76c68884c0,03860032930092960000,84.11.17.168
1#RF东侧电梯厅出入口1,03860032935110120000#039a38a858a9404492fefd76c68884c0,03860032935110120000,84.11.17.4
11#B1F东侧通道人脸1,03860032939048630000#039a38a858a9404492fefd76c68884c0,03860032939048630000,84.11.65.48
11#1F东北侧通道人脸2,03860032932914900000#039a38a858a9404492fefd76c68884c0,03860032932914900000,84.11.49.105
11#2F东侧通人脸1,03860032931606880000#039a38a858a9404492fefd76c68884c0,03860032931606880000,84.11.33.152
11#2F东侧通人脸2,03860032930231060000#039a38a858a9404492fefd76c68884c0,03860032930231060000,84.11.33.153
11#2F东侧电梯厅出入口,03860032937023820000#039a38a858a9404492fefd76c68884c0,03860032937023820000,84.11.33.154
11#2F东北侧通道人脸2,03860032933827900000#039a38a858a9404492fefd76c68884c0,03860032933827900000,84.11.33.156
11#3F东侧通道人脸1,03860032939390150000#039a38a858a9404492fefd76c68884c0,03860032939390150000,84.11.17.239
11#4F东侧通道人脸1,03860032936710380000#039a38a858a9404492fefd76c68884c0,03860032936710380000,84.11.17.95
11#4F东侧通道人脸2,03860032937864320000#039a38a858a9404492fefd76c68884c0,03860032937864320000,84.11.17.96
11#B1F西侧通道人脸2,03860032937611790000#039a38a858a9404492fefd76c68884c0,03860032937611790000,84.11.65.100
11#1F西侧通道人脸1,03860032936493690000#039a38a858a9404492fefd76c68884c0,03860032936493690000,84.11.49.204
11#1F西侧出入口,03860032933002040000#039a38a858a9404492fefd76c68884c0,03860032933002040000,84.11.49.206
11#1F西北侧通道人脸1,03860032935902520000#039a38a858a9404492fefd76c68884c0,03860032935902520000,84.11.49.207
11#2F西侧通道人脸1,03860032933394170000#039a38a858a9404492fefd76c68884c0,03860032933394170000,84.11.33.233
11#2F西侧电梯厅出入口,03860032935181190000#039a38a858a9404492fefd76c68884c0,03860032935181190000,84.11.33.235
11#2F西北侧通道人脸1,03860032938819750000#039a38a858a9404492fefd76c68884c0,03860032938819750000,84.11.33.236
11#3F西侧通道人脸1,03860032938799510000#039a38a858a9404492fefd76c68884c0,03860032938799510000,84.11.33.69
